"annee","libdip1","code_diplome","libdom","libdip2","libdip3","sexe","serieBac","regionEmploi","regionBac","repondant","statutReponse","boursier","etudeN6","etudeN18","etudeN30","poursuiteEtude","situationProN30","situationProN18","situationProN30r","situationProN18r","insertionN30","insertionN18","statutEmploiN30","statutEmploiN18","emploiStableN30","emploiStableN18","emploiPleinN30","emploiPleinN18","niveauEmploiN18","niveauEmploiN30","emploiSupIntN30","emploiSupIntN18","salaireEmploiN30","salaireEmploiN18","typeEmployeur","activiteEcoEmployeur","intituleEmploi"
2014,"Master",2212304,"SCIENCES, TECHNOLOGIES, SANTE","CHIMIE","FORMULATION-QUALITE (FOQUAL)","Femme","Scientifique","Hors PACA","Hors PACA",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2900,2700,"Employeurs privés","Activités spécialisées, scientifiques et techniques","ingenieur qualite procede "
2014,"Master",2210323,"DROIT, ECONOMIE, GESTION","MANAGEMENT","MANAGEMENT DE PROJETS INNOVANTS","Homme","Professionel","Hors PACA","Hors PACA",TRUE,"internet","Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDD",TRUE,FALSE,TRUE,TRUE,"technicien ou agent de maîtrise / cat. B",NA,NA,TRUE,1450,1280,"Employeurs privés","Autres activités de service","Lead QA Tester"
2014,"Master",2211176,"ARTS, LETTRES, LANGUES","INFORMATION ET COMMUNICATION","INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM)","Femme","Littéraire",NA,"Hors PACA",TRUE,"téléphone","Boursier","Non","Non","Non",FALSE,"En recherche d'emploi","En recherche d'emploi","En recherche d'emploi","En recherche d'emploi",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2215777,"SCIENCES HUMAINES ET SOCIALES","ENSEIGNEMENT ET FORMATION PLURIDISCIPLINAIRE EN SCIENCES HUMAINES ET SOCIALES (EFOP)","ENSEIGNEMENT PLURI-DISCIPLINAIRE EN LETTRES/HISTOIRE/GEOGRAPHIE/EDUCATION CIVIQUE EN LYCEE PROFESSSI","Homme","Littéraire","Alpes-Maritimes","PACA hors Alpes-Maritimes",TRUE,"téléphone","Boursier","Dans une autre formation","Non","Dans une autre formation",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDD","CDD",FALSE,FALSE,TRUE,FALSE,"technicien ou agent de maîtrise / cat. B","technicien ou agent de maîtrise / cat. B",TRUE,TRUE,1215,900,"Fonction Publique","Enseignement","Assistant d'éducation en réussite scolaire"
2014,"Master",2215138,"SCIENCES, TECHNOLOGIES, SANTE","SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT","GESTION DE PROJETS HYDRO-TECHNOLOGIQUES ET ENVIRONNEMENTAUX - HYDROPROTECH","Femme","Scientifique","PACA hors
Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDD",TRUE,FALSE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,1680,1750,"Employeurs privés","Autres activités de service","ingénieur d'étude en hydraulique"
2014,"LP",2006249,NA,"GESTION DE  LA PRODUCTION INDUSTRIELLE","MANAGEMENT DE LA LOGISTIQUE DANS L'ENTREPRISE","Homme","Scientifique","Étranger","Hors PACA",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En recherche d'emploi","En emploi","En recherche d'emploi",TRUE,FALSE,"CDI",NA,TRUE,NA,TRUE,NA,NA,"ouvrier ou employé / cat. C",FALSE,NA,3375,NA,"Employeurs privés","Autres activités de service","Assistant RH"
2014,"Master",2225558,"ARTS, LETTRES, LANGUES","LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)","ETUDES ANGLOPHONES","Femme","Littéraire","PACA hors
Alpes-Maritimes","Alpes-Maritimes",TRUE,"internet","Non Boursier","Dans une autre formation",NA,"Non",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2300,2300,"Fonction Publique",NA,"Professeur certifié"
2014,"Master",2202176,"SCIENCES, TECHNOLOGIES, SANTE","METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES (MIAGE)","NOUVELLES TECHNOLOGIES ET DIRECTION DE PROJETS","Femme","Équivalent ou étranger",NA,"Etranger",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2205896,"SCIENCES HUMAINES ET SOCIALES","PSYCHOLOGIE","PSYCHOLOGIE CLINIQUE ET MEDIATION THERAPEUTIQUE PAR L'ART","Femme","Économique et social",NA,"Alpes-Maritimes",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2215861,"SCIENCES HUMAINES ET SOCIALES","ENSEIGNEMENT, EDUCATION ET FORMATION (EEF)","ENSEIGNEMENT PRIMAIRE ET INTERVENTION EN MILIEU EDUCATIF","Femme","Littéraire","Alpes-Maritimes","Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,NA,NA,"Fonction Publique","Enseignement","Professeur des écoles "
