Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;57;60;31;93;49;91;98;1970;30700;25;10.2;1800;9;20;49.00;1410;2140;Nice - Sophia-Antipolis_30;disc04_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;20;86;8;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc07_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;7;100;3;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc11_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;11;100;5;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc14_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;85;74;32;90;52;77;99;1760;27500;21;11.4;1840;20;21;51.00;1430;2210;Nice - Sophia-Antipolis_18;disc04_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;8;77;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc06_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;105;84;36;86;89;64;98;1600;25000;21;11.4;1840;22;41;25.00;1430;2210;Nice - Sophia-Antipolis_18;disc12_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;24;77;9;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc15_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;49;87;17;90;76;73;89;1780;27800;21;11.4;1840;34;38;8.00;1430;2210;Nice - Sophia-Antipolis_30;disc16_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;9;100;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc17_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;102;74;40;89;35;70;95;1600;25000;21;11;1830;13;22;59.00;1420;2210;Nice - Sophia-Antipolis_18;disc04_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;14;78;5;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc10_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;108;65;56;94;39;86;99;1620;25300;22;10.3;1830;10;28;71.00;1410;2200;Nice - Sophia-Antipolis_30;disc01_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;8;55;4;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc05_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;6;75;3;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc06_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;77;74;35;97;93;70;96;1900;29600;22;10.3;1830;22;44;30.00;1410;2200;Nice - Sophia-Antipolis_30;disc12_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;7;100;3;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc14_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;5;75;2;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc17_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;4;54;3;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc06_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;4;54;3;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc06_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;13;82;5;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc10_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;7;100;3;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc11_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;142;76;55;89;41;71;98;1550;24200;21;11.4;1840;15;29;64.00;1430;2210;Nice - Sophia-Antipolis_18;disc01_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;43;82;17;90;25;62;100;1410;22000;21;11.4;1840;11;55;88.00;1430;2210;Nice - Sophia-Antipolis_18;disc03_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;14;70;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc05_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc07_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;13;88;4;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc14_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;13;88;4;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc14_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;37;73;15;84;ns;58;97;ns;ns;21;11;1830;ns;ns;91.00;1420;2210;Nice - Sophia-Antipolis_30;disc03_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;3;54;2;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc06_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;17;75;6;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc07_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;97;82;33;88;88;65;98;1520;23700;21;11;1830;15;36;32.00;1420;2210;Nice - Sophia-Antipolis_18;disc12_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;9;91;3;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc14_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;9;91;3;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc14_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;4;71;2;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc17_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;35;59;18;94;41;76;100;1500;23400;22;10.3;1830;6;58;88.00;1410;2200;Nice - Sophia-Antipolis_30;disc03_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;9;61;5;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc10_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;77;74;35;87;86;62;98;1700;26500;22;10.3;1830;18;44;30.00;1410;2200;Nice - Sophia-Antipolis_18;disc12_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;6;50;4;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc13_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;22;76;10;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc15_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;37;76;16;97;94;78;97;1980;30800;22;10.3;1830;32;58;13.00;1410;2200;Nice - Sophia-Antipolis_30;disc16_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;34;72;18;82;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;79.00;1410;2140;Nice - Sophia-Antipolis_18;disc03_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;12;54;6;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc05_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;73;72;34;99;91;78;99;1710;26700;25;10.2;1800;20;42;42.00;1410;2140;Nice - Sophia-Antipolis_30;disc12_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;13;52;7;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc15_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;13;52;7;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc15_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;31;72;15;100;ns;78;ns;ns;ns;25;10.2;1800;ns;54;18.00;1410;2140;Nice - Sophia-Antipolis_30;disc16_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;4;80;2;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc17_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;4;80;2;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc17_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;43;82;17;91;31;67;100;1550;24200;21;11.4;1840;17;55;88.00;1430;2210;Nice - Sophia-Antipolis_30;disc03_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;85;74;32;92;47;88;96;1800;28100;21;11.4;1840;15;21;51.00;1430;2210;Nice - Sophia-Antipolis_30;disc04_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;14;70;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc05_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;24;77;9;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc15_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;160;75;59;91;33;81;96;1630;25400;21;11;1830;9;29;69.00;1420;2210;Nice - Sophia-Antipolis_30;disc01_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;160;75;59;85;31;65;96;1540;24100;21;11;1830;10;29;69.00;1420;2210;Nice - Sophia-Antipolis_18;disc01_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;21;82;5;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc05_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;3;54;2;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc06_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;17;75;6;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc07_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;14;78;5;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc10_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;3;60;1;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc11_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;3;60;1;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc11_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;12;94;4;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc13_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;4;71;2;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc17_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;2;50;1;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc11_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;6;50;4;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc13_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;5;75;2;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc17_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;103;63;56;88;51;81;97;1780;27800;25;10.2;1800;15;30;62.00;1410;2140;Nice - Sophia-Antipolis_30;disc01_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;20;86;8;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc07_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;13;82;5;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc10_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;73;72;34;92;93;68;98;1680;26200;25;10.2;1800;13;42;42.00;1410;2140;Nice - Sophia-Antipolis_18;disc12_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;11;100;5;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc14_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;31;72;15;100;ns;ns;ns;ns;ns;25;10.2;1800;ns;54;18.00;1410;2140;Nice - Sophia-Antipolis_18;disc16_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;142;76;55;92;41;81;96;1630;25500;21;11.4;1840;14;29;64.00;1430;2210;Nice - Sophia-Antipolis_30;disc01_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;8;77;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc06_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc10_18;7CYWd
